dataset,sub_id,num_nodes,num_edges,num_rows,logrows,prove_s,verify_s,proof_size_kb,setup_s,gen_settings_s,calibrate_s,verified,error
dgraphfin,644186,3,2,15719,15,6.69,0.0387,38.72,6.33,2.40,35.30,True,
dgraphfin,2533490,5,6,26203,15,7.91,0.0382,44.08,7.67,1.55,34.20,True,
dgraphfin,1898951,7,6,36691,16,10.34,0.0646,49.09,11.15,1.62,39.17,True,
dgraphfin,44336,10,9,52430,16,13.75,0.0801,57.25,14.53,2.29,50.31,True,
dgraphfin,3008198,15,16,78683,17,16.05,0.1085,71.02,17.19,3.22,53.97,True,
dgraphfin,284080,20,25,104960,17,17.82,0.1047,85.36,19.43,2.57,60.20,True,
dgraphfin,28234,45,45,236723,18,39.29,0.4017,152.62,37.82,2.43,95.75,True,
dgraphfin,1832174,93,93,,,,,,,,,,pipeline_failed
